CONFIGURATION: d1
MATRIX ELEMENTS: U2
2D	2D	1.0000000000000000e+00
MATRIX ELEMENTS: U4
2D	2D	1.0000000000000000e+00
MATRIX ELEMENTS: V11
2D	2D	1.2247448713915889e+00
#
CONFIGURATION: d2
MATRIX ELEMENTS: U2
3P	3P	-9.1651513899116799e-01
3P	3F	9.7979589711327120e-01
3F	3F	4.8989794855663560e-01
3F	3P	9.7979589711327120e-01
1S	1D	8.9442719099991586e-01
1D	1D	-4.2857142857142855e-01
1D	1G	7.6665187799992784e-01
1D	1S	8.9442719099991586e-01
1G	1G	2.0101781827814698e+00
1G	1D	7.6665187799992784e-01
MATRIX ELEMENTS: U4
3P	3F	-6.3245553203367588e-01
3F	3F	-1.4832396974191326e+00
3F	3P	-6.3245553203367588e-01
1S	1G	8.9442719099991586e-01
1D	1D	5.7142857142857140e-01
1D	1G	1.4982983545287878e+00
1G	1G	7.6398525469262502e-01
1G	1S	8.9442719099991586e-01
1G	1D	1.4982983545287878e+00
MATRIX ELEMENTS: V11
3P	3P	5.4772255750516619e-01
3P	1S	7.7459666924148340e-01
3P	1D	-1.0246950765959599e+00
3F	3F	2.0493901531919199e+00
3F	1D	1.0954451150103324e+00
3F	1G	-9.4868329805051377e-01
1S	1S	0.0000000000000000e+00
1S	3P	7.7459666924148340e-01
1D	1D	0.0000000000000000e+00
1D	3P	-1.0246950765959599e+00
1D	3F	1.0954451150103324e+00
1G	1G	0.0000000000000000e+00
1G	3F	-9.4868329805051377e-01
#
CONFIGURATION: d3
MATRIX ELEMENTS: U2
4P	4P	9.1651513899116799e-01
4P	4F	-9.7979589711327120e-01
4F	4F	-4.8989794855663560e-01
4F	4P	-9.7979589711327120e-01
2P	2P	-2.6186146828319085e-01
2P	2D1	-9.4868329805051377e-01
2P	2D2	2.0701966780270628e-01
2P	2F	-5.2372293656638169e-01
2D1	2D1	5.0000000000000000e-01
2D1	2D2	9.8198050606196563e-01
2D1	2F	-7.7459666924148340e-01
2D1	2G	-1.1338934190276817e+00
2D1	2P	9.4868329805051377e-01
2D2	2D2	2.1428571428571427e-01
2D2	2F	-1.5212776585113297e+00
2D2	2G	-2.4743582965269675e-01
2D2	2P	-2.0701966780270628e-01
2D2	2D1	9.8198050606196563e-01
2F	2F	4.8989794855663560e-01
2F	2G	8.2807867121082512e-01
2F	2H	-1.3732131246511905e+00
2F	2P	-5.2372293656638169e-01
2F	2D1	7.7459666924148340e-01
2F	2D2	1.5212776585113297e+00
2G	2G	4.0203563655629393e-01
2G	2H	-6.1411957886299073e-01
2G	2D1	-1.1338934190276817e+00
2G	2D2	-2.4743582965269675e-01
2G	2F	-8.2807867121082512e-01
2H	2H	1.5657038581508864e+00
2H	2F	-1.3732131246511905e+00
2H	2G	6.1411957886299073e-01
MATRIX ELEMENTS: U4
4P	4F	6.3245553203367588e-01
4F	4F	1.4832396974191326e+00
4F	4P	6.3245553203367588e-01
2P	2F	9.2966968020136820e-01
2P	2G	-4.3915503282683993e-01
2P	2H	7.9282496717209183e-01
2D1	2D1	5.0000000000000000e-01
2D1	2D2	-5.4554472558998091e-01
2D1	2F	-9.1287092917527679e-01
2D1	2G	8.8640526042791834e-01
2D1	2H	1.3540064007726600e+00
2D2	2D2	-4.5238095238095233e-01
2D2	2F	-3.9840953644479787e-01
2D2	2G	-1.1605769149479943e+00
2D2	2H	-2.9546842014263941e-01
2D2	2D1	-5.4554472558998091e-01
2F	2F	2.4720661623652210e-01
2F	2G	-4.8550415622761228e-01
2F	2H	3.3688583153950463e-01
2F	2P	9.2966968020136820e-01
2F	2D1	9.1287092917527679e-01
2F	2D2	3.9840953644479787e-01
2G	2G	-3.8199262734631251e-01
2G	2H	-1.7505101297295353e+00
2G	2P	4.3915503282683993e-01
2G	2D1	8.8640526042791834e-01
2G	2D2	-1.1605769149479943e+00
2G	2F	4.8550415622761228e-01
