W	U	W’	U’
000	00	100	10	1							
100	10	110	10	1	0	-1					
100	10	110	11	1	1	-1					
100	10	200	20	1							
110	10	111	00	1	0	1	-1	-1			
110	10	111	10	1	1	0	-1				
110	10	111	20	1	1	2	-1	-1			
110	11	111	10	-1	-1	0	-1				
110	11	111	20	-1	-1	2	-1				
110	10	210	11	1	1	0	-1				
110	10	210	20	1	0	1	-1				
110	11	210	20	1	0	1	-1	-1			
110	11	210	21	1	5	0	-1	-1			
111	00	111	10	-1							
111	10	111	10	-1	-3	1					
111	10	111	20	1	-3	3	0	-1			
111	20	111	20	-1	-3	0	0	1			
111	00	211	10	1							
111	10	211	10	-1	-3	-1					
111	10	211	11	1	0	-1					
111	10	211	20	1	-3	0	1				
111	20	211	10	1	-3	-6					
111	20	211	11	-1	0	-6	0	1			
111	20	211	20	1	-3	-3	1				
111	20	211	21	1	6	-6	1				
111	20	211	30	1	0	-6	1	1	1		
200	20	210	11	1	1	-1	-1				
200	20	210	20	1	0	2	-1	-1			
200	20	210	21	1	6	-1	-1	-1			
210	11	211	10	-1	-1	-1					
210	11	211	20	1	-1	0	1	-1			
210	11	211	21	1	1	-1	1	-1			
210	20	211	10	1	1	-5	0	1			
210	20	211	11	1	6	-5					
210	20	211	20	1	1	-2	1	-1			
210	20	211	21	-1	2	-5	3	-1			
210	20	211	30	1	0	-5	1	0	1		
210	21	211	11	-1	-5	-1					
210	21	211	20	-1	-3	0	1	-1			
210	21	211	21	1	-3	-1	1	-1	1		
210	21	211	30	1	-5	-1	1	0	1		
210	11	220	20	1	-1	2	0	-1			
210	11	220	21	-1	-1	0	1	-1			
210	20	220	20	-1	1	0	0	-1			
210	20	220	21	1	0	0	1	-1			
210	21	220	20	1	-9	2	0	-1			
210	21	220	21	1	-5	0	1	-1	1		
210	21	220	22	1	-9	0	1	1	1		
211	10	211	10	-1	-3	-2	1				
211	10	211	11	1	0	-2	1				
211	10	211	20	-1	-3	1					
211	11	211	20	-1	-1	1	0	-1			
211	11	211	21	1	5	-2	0	-1			
211	20	211	20	-1	-3	-1	-1	-1	0	0	2
211	20	211	21	-1	6	-2	-1	-1			
211	20	211	30	1	0	-2	-1	0	1		
211	21	211	21	-1	4	-2	-1	-1	1		
211	21	211	30	1	0	-2	-1	0	1		
211	30	211	30	-1	5	-2	-1				
211	10	221	10	1	2	-2					
211	10	221	10	1	0	-2	1				
211	11	221	10	1	-2	-2					
211	11	221	20	1	-2	1	1	-1			
211	11	221	21	1	-1	-2	1	-1	1		
211	20	221	11	1	0	-2					
211	20	221	20	-1	2	-1	0	-1			
211	20	221	21	-1	2	-2	0	-1	1		
211	21	221	11	-1	-6	-2					
211	21	221	20	1	-5	1	0	-1			
211	21	221	21	1	-4	-2	2	-1			
211	21	221	30	1	-7	-2	0	2	1		
211	21	221	31	1	-7	2	0	1			
211	30	221	21	-1	0	-2	0	1	-1		
211	30	221	30	1	0	-2					
211	30	221	31	1	0	2	0	0	-1		
220	20	221	10	-1	2	-5	0	1			
220	20	221	11	1	2	-5	1				
220	20	221	20	1	2	-2	1	-1			
220	20	221	21	-1	0	-5	1	-1	1		
220	20	221	30	-1	1	-5	1	0	1		
220	21	221	11	1	-4						
220	21	221	20	1	-3	1	0	-1			
220	21	221	21	-1	-2	2	0	-1			
220	21	221	30	1	-5	0	0	0	1		
220	21	221	31	-1	-5	0	0	1			
220	22	221	21	1	0	0	0	0	-1		
220	22	221	31	1	1	0	1	0	-1		
221	10	221	10	1	-2	-2	1				
221	10	221	11	-1	0	-2					
221	10	221	20	1	-2	1					
221	11	221	20	-1	-1	3	-1	-1			
221	11	221	21	1	4	-2	-1	-1	1		
221	20	221	20	-1	-2	-1	-1	1			
221	20	221	30	-1	1	-2	-1	0	1		
221	21	221	21	-1	5	-2	-1	1	-1		
221	21	221	30	-1	-2	-2	1				
221	21	221	31	1	-2	2	-1	1	-1		
221	30	221	30	-1	-2	-2	-1	0	2		
221	30	221	31	1	-2	2	-1	0	-1		
221	31	221	31	-1	-2	1	0	0	-1	1	
221	10	222	00	1	0	2	0	-2			
221	10	222	10	1	-2	1	1	-1			
221	10	222	20	1	-2	0	1	-2	1		
221	11	222	10	-1	-1	1	0	-1			
221	11	222	20	-1	-1	0	0	-1	1		
221	20	222	10	-1	-2	-1					
221	20	222	20	1	-2	0	0	-1	1		
221	20	222	30	1	0	-1	0	-1	1		
221	21	222	20	-1	0	0	0	-1			
221	21	222	30	1	1	1	0	-1			
221	30	222	20	1	1	0	0	-1	-1		
221	30	222	30	-1	-1	1	0	-1			
221	30	222	40	1	-1	2	0	-1	-1	1	
221	31	222	30	1	-1	0	0	-1			
221	31	222	40	1	-1	0	0	-1	0	1	
222	00	222	10	-1							
222	10	222	10	-1	-2	1	-1				
222	10	222	20	1	-2	2	-1	-1	1		
222	20	222	20	-1	-2	0	-1	1			
222	20	222	30	1	0	-1	-1	1			
222	30	222	30	-1	0	1	-1				
222	30	222	40	-1	0	0	-1	0	-1	1	
222	40	222	40	-1	-1	2	-1				
