# In this table 2F10 is substituted by 2F0 and 2G10 by 2G0
f1
3F1	2G1	1	-2 0 -1
3F1	2H1	-1	-2 0 -1 -1 1
3F1	2I	1	-2 -2 -1 0 0 1
3F2	4S	-1	0 2 -1 -1
3F2	4D	1	-3 -4 0 -1
3F2	4F	1	-3 1 -1
3F2	4G	1	-3 -2 -1 -1
3F2	4I	1	-3 -4 -1 -1 0 1
3F2	2P	-1	0 1 -1 -1
3F2	2D1	-1	2 -4
3F2	2G1	-1	2 -2 -1
3F2	2H1	-1	0 0 -1 -1 1
3F2	2I	-1	2 -4 -1 0 0 1
3F3	4D	1	-1 -3 1 -1 1
3F3	4G	1	3 -1 0 -1 -1
3F3	4I	-1	-1 -3 0 1 -1 1
3F3	2P	-1	-4 0 0 -1 1
3F3	2D1	1	-4 -3 3 -2 1
3F3	2D2	-1	0 0 1 -2
3F3	2F2	1	-3
3F3	2G1	1	0 -1 2 -2 -1
3F3	2G2	-1	-3 0 1 -2 0 1
3F3	2H1	1	-4 1 0 -1
3F3	2H2	0	
3F3	2I	-1	-4 -3 2 0 -1 1
3F4	4D	-1	-1 -4 0 -1 1 1
3F4	4G	1	1 -2 1 -1 -1 1
3F4	4I	-1	-1 -4 1 1 -1
3F4	2D1	1	0 -4 0 -2 1 1
3F4	2D2	-1	-2 1 0 -2 0 1
3F4	2F2	0	
3F4	2G1	-1	2 -2 1 -2 -1 1
3F4	2G2	1	1 1 0 -2
3F4	2H2	1	-2
3F4	2I	1	0 -4 1 0 -1
3G1	4D	-1	-3 -2 1 -2 1
3G1	4F	-1	-3 -1 0 1
3G1	4G	1	-3 -1 3 -2 -1
3G1	4I	-1	-3 -2 0 0 -1 1
3G1	2P	1	0 -1 0 -2 1
3G1	2D1	1	2 -2 1 -3 1
3G1	2D2	-1	2 -1 1 -3
3G1	2F2	-1	1 -1 0 -1 -1
3G1	2G1	-1	2 -1 3 -3 -1
3G1	2G2	-1	1 0 0 -3 0 1
3G1	2H1	-1	0 -2 1 -2 0 1
3G1	2H2	-1	2 -2 0 -1
3G1	2I	1	2 -2 0 -1 -1 1
3G1	2K	1	2 -1 1 -1 -1
3G2	4D	-1	-1 -3 0 -2 0 1
3G2	4G	-1	3 -2 0 -2 0 1
3G2	4I	-1	-1 -3 1
3G2	2P	1	-4 0 1 -2 0 1
3G2	2D1	-1	-4 -3 2 -3 0 1
3G2	2D2	-1	0 -2 0 -3 1 1
3G2	2F2	1	-3 -2 1 -1 0 1
3G2	2G1	-1	0 -2 2 -3 0 1
3G2	2G2	1	-3 -1 -1 -3 1 0 0 0 2
3G2	2H1	1	-4 1 0 -2 1
3G2	2H2	-1	2 -1 -1 -1 1 -1
3G2	2I	-1	-4 -3 3 -1
3G2	2K	1	2 0 0 -1 0 -1
3G3	4D	-1	-1 -3 0 0 1
3G3	4G	-1	1 -2 0 0 -1
3G3	4I	1	-1 -3 1 0 -1 1
3G3	2D1	1	0 -3 0 -1 1
3G3	2D2	1	-2 -2 2 -1
3G3	2F2	1	-1 -2 1 1 -1
3G3	2G1	1	2 -2 0 -1 -1
3G3	2G2	-1	-1 -1 -1 -1 0 1
3G3	2H2	1	-2 -1 -1 1
3G3	2I	-1	0 -3 1 -1 -1 1
3G3	2K	1	0 2 0 -1 -1
3H1	4D	-1	1 -2 0 -1
3H1	4F	-1	-1 -1 -1
3H1	4G	-1	-1 0 0 -1 -1 1
3H1	4I	1	0 -2 -1 1 -1 1
3H1	2D1	-1	0 -2 0 -2
3H1	2D2	1	-2 3 0 -2 -1
3H1	2F1	1	-2 -1 1
3H1	2F2	-1	-3 1 -1 0 -1
3H1	2G1	-1	-2 0 0 -2 -1 1
3H1	2G2	1	-3 3 -1 -2
3H1	2H2	-1	-2 0 -1
3H1	2I	1	-1 -2 -1 0 -1 1
